2019/03/01 14:56:07.744 [I]  Downloading blogs/built/assets/icons/arrow2-right.svg => /Users/acgpiano/github/imgcdn/qiniu/blogs/built/assets/icons/arrow2-right.svg
2019/03/01 14:56:07.744 [I]  Downloading blogs/built/assets/icons/backicon.png => /Users/acgpiano/github/imgcdn/qiniu/blogs/built/assets/icons/backicon.png
2019/03/01 14:56:07.744 [I]  Downloading blogs/built/assets/icons/book-open.svg => /Users/acgpiano/github/imgcdn/qiniu/blogs/built/assets/icons/book-open.svg
2019/03/01 14:56:07.744 [I]  Downloading blogs/built/assets/icons/bookmark-article.svg => /Users/acgpiano/github/imgcdn/qiniu/blogs/built/assets/icons/bookmark-article.svg
2019/03/01 14:56:07.745 [I]  Downloading blogs/built/assets/icons/box-hands.svg => /Users/acgpiano/github/imgcdn/qiniu/blogs/built/assets/icons/box-hands.svg
2019/03/01 14:56:07.745 [I]  Downloading blogs/built/assets/icons/box.svg => /Users/acgpiano/github/imgcdn/qiniu/blogs/built/assets/icons/box.svg
2019/03/01 14:56:07.746 [I]  Downloading blogs/built/assets/icons/brackets.svg => /Users/acgpiano/github/imgcdn/qiniu/blogs/built/assets/icons/brackets.svg
2019/03/01 14:56:07.747 [I]  Downloading blogs/built/assets/icons/calendar.svg => /Users/acgpiano/github/imgcdn/qiniu/blogs/built/assets/icons/calendar.svg
2019/03/01 14:56:07.747 [I]  Downloading blogs/built/assets/icons/cash.svg => /Users/acgpiano/github/imgcdn/qiniu/blogs/built/assets/icons/cash.svg
2019/03/01 14:56:07.747 [I]  Downloading blogs/built/assets/icons/check-circle.svg => /Users/acgpiano/github/imgcdn/qiniu/blogs/built/assets/icons/check-circle.svg
2019/03/01 14:56:07.747 [I]  Downloading blogs/built/assets/icons/boxes.svg => /Users/acgpiano/github/imgcdn/qiniu/blogs/built/assets/icons/boxes.svg
2019/03/01 14:56:07.747 [I]  Downloading blogs/built/assets/icons/chat-double-bubble.svg => /Users/acgpiano/github/imgcdn/qiniu/blogs/built/assets/icons/chat-double-bubble.svg
2019/03/01 14:56:07.747 [I]  Downloading blogs/built/assets/icons/cheeseburger.svg => /Users/acgpiano/github/imgcdn/qiniu/blogs/built/assets/icons/cheeseburger.svg
